province;district;gov_trans;social_inclusion;economic_status;education;health;social_life;munenvperf_trans;hdi_d
Ýstanbul;Beþiktaþ;0.944;0.685;0.867;0.981;0.732;0.9;0.775;0.864
Ýstanbul;Kadiköy;0.95;0.61;0.745;0.955;0.896;0.888;0.65;0.846
Ankara;Çankaya;0.962;0.355;0.634;0.965;0.745;0.775;0.7;0.766
Ýstanbul;Þiþli;0.957;0.43;0.616;0.753;0.796;0.675;0.95;0.736
Bursa;Nilüfer;0.832;0.453;0.61;0.82;0.735;0.575;0.725;0.698
Antalya;Muratpaþa;0.913;0.377;0.602;0.765;0.8;0.575;0.55;0.692
Ýzmir;Karþiyaka;0.908;0.235;0.622;0.882;0.663;0.688;0.525;0.692
Eskiþehir;Tepebaþi;0.873;0.537;0.566;0.631;0.74;0.688;0.675;0.681
Ýstanbul;Bakirköy;0.852;0.258;0.789;0.881;0.552;0.575;0.6;0.681
Ýstanbul;Maltepe;0.943;0.433;0.611;0.736;0.75;0.225;0.725;0.669
Ýstanbul;Üsküdar;0.956;0.303;0.663;0.753;0.677;0.375;0.588;0.663
Ankara;Yenimahalle;0.905;0.352;0.567;0.773;0.553;0.625;0.6;0.656
Ýstanbul;Sariyer;0.66;0.552;0.751;0.705;0.643;0.65;0.475;0.656
Ýzmir;Konak;0.911;0.43;0.635;0.603;0.536;0.713;0.7;0.655
Ýstanbul;Ataþehir;0.887;0.393;0.662;0.706;0.733;0.375;0.525;0.654
Ýstanbul;Ümraniye;0.8;0.698;0.614;0.641;0.584;0.338;0.775;0.648
Ýstanbul;Beyoðlu;0.878;0.428;0.718;0.513;0.599;0.775;0.525;0.647
Eskiþehir;Odunpazari;0.911;0.363;0.544;0.654;0.693;0.613;0.55;0.646
Kocaeli;Ýzmit;0.814;0.425;0.579;0.647;0.72;0.575;0.65;0.643
Ýzmir;Bornova;0.859;0.332;0.593;0.631;0.75;0.575;0.525;0.636
Ýstanbul;Fatih;0.699;0.455;0.654;0.575;0.795;0.613;0.575;0.628
Ýstanbul;Avcilar;0.835;0.458;0.59;0.605;0.546;0.6;0.6;0.62
Ýzmir;Gaziemir;0.801;0.472;0.577;0.724;0.506;0.375;0.7;0.618
